vin,nom,ville,etat
JH4CU2F6XAC494634,Venita Pudney,Toledo,Ohio
WBADN63472G813119,Eleanore Shadrach,Pocatello,Idaho
4T3BA3BBXBU847984,Donavon Mealiffe,Fort Wayne,Indiana
JHMFA3F26AS215310,Lusa Farrell,Miami,Florida
1FTEW1C88FF626779,Diane-marie Sheer,Davenport,Iowa
JM1GJ1T62E1863398,Park Pagitt,Amarillo,Texas
3VWKX7AJ3BM348912,Timothea Olenikov,Aurora,Colorado
SAJWA4EC5EM512713,Julieta Wolfinger,Honolulu,Hawaii
WVWAN7AN8EE312442,Wilona Franceschielli,Lancaster,Pennsylvania
WA1LKBFP6AA385500,Hillary Dikels,Honolulu,Hawaii
2C4RDGEG1CR689776,Conn Dunthorn,Raleigh,North Carolina
1D4PT4GX3BW984599,Eveline Connolly,Grand Junction,Colorado
1N6AA0EC6FN313017,Mayer Romaynes,Tulsa,Oklahoma
SCFAD22373K437158,Lanita Camamile,San Francisco,California
WAUVFAFR3CA561594,Phyllis Jacquemet,Van Nuys,California
WDDEJ8GB9AA639231,Colas Checketts,Waterloo,Iowa
3C6JD6CT0CG238777,Ashbey Capinetti,Columbus,Ohio
2HNYD18773H933077,Elisha La Croce,Lubbock,Texas
WBY2Z2C54EV908011,Marquita Pidgin,Jefferson City,Missouri
1GD322CG4EF956688,Antin Gerardot,Wilkes Barre,Pennsylvania
JN1BJ0HP2EM026500,Row Scrace,Whittier,California
VNKJTUD39FA848878,Niko McLarens,Saint Joseph,Missouri
JTHCL5EF4F5612971,Stormi Howsley,Fargo,North Dakota
1GD312CG4DF985108,Wanda Graser,Long Beach,California
JN1CV6EK5DM872672,Cammi Kruse,San Jose,California
1G6YV36A385511144,Bellanca Turbern,Knoxville,Tennessee
2G61S5S31E9413869,Georgianna O'Loughane,Oakland,California
2LMHJ5AT2CB923556,Barbaraanne Ferrar,San Francisco,California
JM3KE2BE1D0368070,Mano MacGown,Richmond,Virginia
1FT7W2A65EE003964,Sly Leeb,Wichita Falls,Texas
1N4AL2AP1CC751832,Annalee Harbert,San Jose,California
SCBLF44J48C322286,Astrid Brach,Fort Myers,Florida
JTEBU5JR9B5065826,Maryanne Baglin,San Antonio,Texas
JN8AE2KPXC9608897,Abe Beebis,Young America,Minnesota
KNAFU6A24C5694617,Richart Barrows,Saint Cloud,Minnesota
WA1YD64B15N863559,Ronny MacGruer,Youngstown,Ohio
JTDJTUD37ED397875,Elie Sibbson,Washington,District of Columbia
WAUVT58E73A183273,Kent Seddon,Orange,California
WBA3N7C5XFK329328,Toddy Antusch,Columbia,South Carolina
WVGEF9BP0DD801654,Jerrold Stroton,Los Angeles,California
WA1VFBFLXDA085327,Hobie Moiser,Philadelphia,Pennsylvania
2G4WD562751900289,Rolfe Squires,Irving,Texas
5N1AZ2MG7FN788022,Lilyan Farlamb,Ocala,Florida
YV126MFJ0F1893640,Mandi Thorington,Phoenix,Arizona
1G6D05EG6A0164314,Reyna Fallow,Waltham,Massachusetts
1N6AF0KY9EN738375,Elke Bimson,Roanoke,Virginia
WA1CGBFE7ED850550,Tonya Cockings,Columbus,Georgia
1G6DM8E36D0847380,Rawley Exrol,Louisville,Kentucky
JN1CV6EK0BM105504,Gabie Templman,Miami,Florida
2HNYD2H38DH347525,Debbi Fahy,Columbus,Ohio
WA1CMAFE2CD083920,Vivien Dodshon,Lakeland,Florida
3VW467AT4DM584601,Auroora Yablsley,Portsmouth,Virginia
TRUTC28N031639113,Sandra Genicke,Gaithersburg,Maryland
JN8CS1MW4EM742563,Carlos Kennefick,North Port,Florida
JTHDU1EF7A5359213,Roger Tinghill,Madison,Wisconsin
WBAYF4C55ED127534,Ferdinand Archbould,Oklahoma City,Oklahoma
KMHCM3AC8AU688735,Claire Tonna,Albuquerque,New Mexico
WP0CA2A89DS691307,Jimmy Richardot,Pittsburgh,Pennsylvania
WAUDC68D81A793088,Niko Rathbourne,Mountain View,California
1G6AW5SX4E0725069,Adria Zanetti,Norfolk,Virginia
WAUVT68E03A965887,Inglis Mallebone,Saint Paul,Minnesota
JTDKDTB39F1224117,Jessie Iacomo,Milwaukee,Wisconsin
1C3CDZCB5EN363895,Burtie Stiddard,New York City,New York
WBA6B8C59FD899322,Dianne Corley,New Orleans,Louisiana
WA1DGAFP3EA102010,Dannie Scullion,Syracuse,New York
SCFAB02A16G044644,Rubi Aysik,Pittsburgh,Pennsylvania
WBAKA4C57CC039639,Shena Popeley,Jacksonville,Florida
WBSWL9C5XAP901309,Orville Kadwallider,Memphis,Tennessee
WVWAN7AN1DE042730,Rivkah Mulkerrins,Montgomery,Alabama
WAUAF78E95A382376,Hurleigh Dowker,Pensacola,Florida
JH4CL95836C795509,Aurora Rofe,Pasadena,California
1GTN1TEX6CZ658903,Nichole Greiser,Irving,Texas
WAUEH78EX6A338559,Ryley Burg,Reading,Pennsylvania
TRUTC28NX11038661,Caresa Lehrian,Bowie,Maryland
JN1AZ4EH9AM540122,Staci Rogerot,Birmingham,Alabama
1N6AA0CA8CN744679,Marice Ledgister,Corpus Christi,Texas
3D73M4CL3BG827090,Cy Bothen,Denver,Colorado
JA32U1FU6DU987987,Jacques Anstiss,Washington,District of Columbia
1GYEK63N83R263633,Ennis Hammett,Fort Wayne,Indiana
1GD311CG6FF592000,Zedekiah Wreight,Boise,Idaho
WBAKN9C57FD286319,Lemmie Allawy,Rockford,Illinois
WAUBFAFL4EA408935,Ekaterina Sturmey,Topeka,Kansas
1GYFK46868R314519,Drusy Swendell,Sioux Falls,South Dakota
WAUEL94F75N385936,Corny O'Sheils,Dallas,Texas
5FRYD3H42GB531629,Gypsy Greeno,Grand Rapids,Michigan
JTDBT4K37B4492293,Lief Nind,Vancouver,Washington
JM1DE1KYXC0571706,Delmer Bemwell,High Point,North Carolina
1G6DA5E53C0912645,Austine McFade,Columbia,Missouri
1GYUKJEF3AR146656,Olly Vickers,Watertown,Massachusetts
1FTEW1E83AK298815,Burgess Ateggart,New York City,New York
WVWGU9AN3BE204122,Joyous Paulsen,Carol Stream,Illinois
1GYS3KEF5BR219313,Abe Tydeman,Santa Barbara,California
WBAEJ13401A649653,Kylila Riddiford,Washington,District of Columbia
JN8AE2KP5B9041366,Erny Prinnett,Las Vegas,Nevada
3C63D2JL0CG227167,Noelani Nibley,Fort Lauderdale,Florida
WBA3C1G51DN512609,Illa Pudney,Texarkana,Texas
WVWAA7AJ3CW075794,April Molineux,Fort Wayne,Indiana
1FTEW1CM0BF975474,Livvy McTrustie,Grand Forks,North Dakota
2CTALMEC3B6474318,Clarissa Noonan,Juneau,Alaska
5TDBY5G10BS345719,Cyndia Rodolphe,Augusta,Georgia
WAUHGAFCXEN343234,Katee Hancke,Anchorage,Alaska
2GKALMEK8E6039242,Colman Hardwich,Chicago,Illinois
JN8AZ2KR8BT509051,Carmon Kersley,Washington,District of Columbia
WAUEF78E78A734070,Laurie Kiefer,Newport Beach,California
2C3CK5CV8AH020610,Jobi Klamman,Los Angeles,California
JTDJTUD33DD790366,Celene Grigorian,Pensacola,Florida
WAUHF98P27A631423,Yolanda Sheran,Columbia,South Carolina
5N1AT2MK6FC756096,Fonzie Paulino,Washington,District of Columbia
5GAKRAED2BJ486440,Kendell Larenson,Cincinnati,Ohio
5J6TF2H50FL319052,Ted Bone,Henderson,Nevada
WAULD64B64N470992,Valene Goseling,Fairfield,Connecticut
JN1CV6AR5FM435454,Jard Hopfner,Hamilton,Ohio
5UXWX7C55EL079739,Jud Earsman,San Diego,California
1GYFK63858R194034,Lee Jaumet,Amarillo,Texas
1N6AA0CJ6FN272146,Michell Fidelus,Amarillo,Texas
5TDDK3DC5CS497839,Dom Swiffen,Montgomery,Alabama
JTDZN3EU2E3708603,Ryon Giamo,Asheville,North Carolina
WBSKG9C56DJ444590,Garrik Beckhouse,Philadelphia,Pennsylvania
JN1AZ4EH2FM608090,Silvia Slevin,Omaha,Nebraska
5LMJJ2H51DE934599,Morton Abells,Wichita,Kansas
2C3CCARG3FH435341,Quentin Cancott,West Palm Beach,Florida
1GYS4FEJ1DR829253,Reider Spearett,Farmington,Michigan
JTHBE1BL1F1694853,Timmie Dally,Newton,Massachusetts
WP1AE2A22EL895980,Claudius Stille,New York City,New York
WBAUC9C55CV267711,Egan Willmore,Cleveland,Ohio
19UUA9F23AA969333,Lauraine Ede,Huntsville,Alabama
5FPYK1F25EB856227,Cristal Ellicott,Savannah,Georgia
1FTWW3B51AE690491,Ware Battleson,Toledo,Ohio
5NPDH4AEXBH598566,Morgun Guard,Des Moines,Iowa
WAUCVAFR7AA760199,Llywellyn Giddy,Albuquerque,New Mexico
5J6TF1H58EL461965,Hort Sallenger,Dayton,Ohio
WAUKFBFL5BA018217,Dyann McElrea,Cape Coral,Florida
2T1KE4EE0CC098740,Pail Broady,Huntington Beach,California
WP0AB2A80FK414598,Josee O'Roan,Punta Gorda,Florida
1D7RV1CP9AS913746,Langsdon Davydkov,Philadelphia,Pennsylvania
1G6KD57928U374325,Koralle Hattrick,Columbus,Ohio
2HNYD18634H005050,Homerus MacNab,Fort Lauderdale,Florida
JN1CV6FE3EM806941,Valma Mussettini,Waltham,Massachusetts
3VWKX7AJ9AM016519,Bruno Beeton,Pompano Beach,Florida
1G6DX67D560443913,Alvin Berntssen,Houston,Texas
WAUFFBFL5BA054569,Malina Errichelli,Augusta,Georgia
5TDBY5G19ES583119,Kayley Westman,Washington,District of Columbia
1G6AA5RX8F0110871,Kissie Gwin,Oklahoma City,Oklahoma
1G6AH5R35F0763103,Davy Harbidge,Atlanta,Georgia
WAUVT68E12A672613,Ezra Shwalbe,Montgomery,Alabama
WBAKE3C59CE328797,Marlene Aronin,Tacoma,Washington
WUARL48HX4K014100,Colan Treagus,Sterling,Virginia
5UXWZ7C59F0388207,Conant Cleminshaw,Pasadena,California
