vin,nom,ville,etat
2C3CCAAG3DH957881,Prentice Rathe,Galveston,Texas
1FMHK7B87CG837146,Chad Tinkler,Las Vegas,Nevada
2G61T5S3XF9521731,Fraze Eslinger,Torrance,California
1G6DP577570135498,Mona Louder,Irvine,California
WAUAF78E97A003881,Abigail Connett,Jefferson City,Missouri
JN8AS1MU8BM587744,Gabriel Mothersdale,New York City,New York
5LMCJ1A97FU569838,Faber Aberdein,Aurora,Illinois
5N1AZ2MH4FN019423,Breanne Read,Oakland,California
KNDMG4C70C6184662,Adriena MacCrosson,Marietta,Georgia
WA1LYAFE9AD468084,Nariko Mallinson,Evansville,Indiana
JTHBB1BA6B2660922,Marquita Pidgin,Jefferson City,Missouri
1GKS1EEF8BR455276,Jemmy Creigan,Springfield,Illinois
5BZBF0AA6FN079247,Tonya Cockings,Columbus,Georgia
WBA6A0C52FD935484,Broderick Sherborn,Columbus,Mississippi
JN8AZ2KR4ET367267,Merell Schuchmacher,Tacoma,Washington
WA1CMAFE5BD408543,Florian Crease,Albuquerque,New Mexico
WAUBF78E58A097473,Veronike Doorbar,Saint Louis,Missouri
1HGCR6F3XEA466822,Nettle ducarme,Pensacola,Florida
1G6DF5E52C0606151,Fianna McGuffie,Philadelphia,Pennsylvania
SCBLF44J27C722541,Jard Hopfner,Hamilton,Ohio
SCBLC47J79C281447,Roxie Rubinov,Wichita,Kansas
2G61M5S3XF9665079,Mauricio Danet,Tulsa,Oklahoma
137ZA84371E673334,Eyde Shiers,Greensboro,North Carolina
WAUXL58E74A819748,Carmela Shearn,Plano,Texas
JH4CU2E85CC460204,Jeremie Fusedale,Detroit,Michigan
KMHHT6KD4AU288415,Margarita Renac,Shawnee Mission,Kansas
SALVP2BG9EH178093,Nola Storm,Miami,Florida
WBAEN334X4P338183,Waverley Doudney,Arlington,Texas
WAUDF78E98A887576,Serene Penswick,Birmingham,Alabama
WBAKX6C52CC042233,Florian Coulbeck,Albuquerque,New Mexico
WA1AY74L78D880395,Martyn Hurworth,Mountain View,California
WBA3X9C58FD683603,Francesco Dunthorn,Henderson,Nevada
1GYS4FEJ1DR342277,Abe Qualtrough,Fort Pierce,Florida
1VWAS7A34FC606065,Woodie Robbie,Huntington,West Virginia
WP0AA2A81EK689575,Vikki Aleksandrikin,Sacramento,California
19VDE1F39FE365151,Urban Haversham,Spokane,Washington
